425 21861
84 113
227 219 151824765
203 236 447396816
306 248 90605348
29 185 923653926
146 226 958376016
14 136 220572394
56 226 68589151
173 212 188361113
127 236 425384856
264 104 805698936
214 178 540849731
321 240 91892011
92 157 606559790
355 127 999589338
365 323 277573951
245 242 873426819
58 138 728492330
306 291 654751695
65 310 714258617
235 387 898060244
119 330 493256843
359 277 423669588
99 227 529732282
125 321 619487259
122 258 49337419
128 138 96018436
422 83 686364368
266 253 711998618
84 116 527503766
390 391 265388310
211 343 5625254
363 139 261747678
214 60 12613359
252 406 484974487
316 268 270624756
82 343 910541482
52 343 806824059
357 117 402817187
83 192 771650216
290 185 323581314
155 88 369837093
330 93 891125398
130 103 509512359
366 305 23177577
42 204 373911908
109 96 527052808
409 32 175144363
293 405 869440461
19 381 574799738
110 361 363888385
134 256 973122370
72 317 40870411
317 318 511483691
67 319 164612800
242 162 221206788
407 212 583847533
110 182 922272608
251 345 682889932
42 326 338160915
206 259 558355193
140 68 500270135
288 83 714514191
348 184 948388556
202 274 880508425
351 404 330618670
182 356 222530536
391 244 254534372
327 108 542748302
243 258 570609137
290 275 862045086
307 6 537300721
110 185 205105893
322 202 271928819
57 104 962381560
410 280 97159130
318 131 84716342
235 17 797968788
207 214 576263486
183 330 891096445
384 414 305100373
111 94 458848059
370 365 957510630
38 93 153850193
162 109 839190668
416 373 762236150
136 12 302333945
144 158 921831036
255 30 336573359
155 156 391986624
340 288 327717029
237 293 643595857
362 286 870319854
420 348 962643656
26 249 334692050
230 121 125103976
417 372 758101139
160 310 454399915
176 111 27830209
329 283 791203807
131 100 507365679
99 122 331624908
232 82 105614124
48 270 301114905
304 260 105232571
324 175 8683481
364 142 140082084
371 41 861268046
216 299 103241307
370 333 348962579
20 264 449571640
359 285 435176656
71 203 423590451
419 415 307538565
121 301 789980651
84 397 844608207
135 64 700134021
363 410 693640762
247 168 237816860
359 101 373919229
247 248 99370653
410 412 322741950
344 295 874680945
205 71 199483906
320 125 149078818
379 416 680153503
132 290 243627438
157 225 20975638
142 65 747167914
33 67 412599267
270 184 17335385
343 7 382429166
5 88 225600780
300 200 668676597
19 313 809973654
282 258 359851469
148 205 320629664
153 342 247792753
321 177 742367563
295 350 754754719
92 216 737091173
267 117 928552885
368 26 455840768
378 155 882285892
184 30 202562632
356 388 83999271
206 210 783152007
339 198 482614111
175 327 177389111
186 90 937780523
292 255 575949144
258 424 880775809
217 114 567568548
57 315 435225704
335 295 432513922
22 351 915161619
324 174 277465744
171 148 871892410
363 145 495904020
277 326 585781918
237 292 169823734
289 308 525657411
47 403 989777867
383 24 523771668
104 34 930238673
174 423 556364388
65 169 461429161
131 119 247664437
304 219 562624067
364 382 571772853
373 73 497921983
335 415 366466554
163 104 787712950
345 45 161360765
324 192 504833320
159 91 859192943
48 210 521082855
24 111 41277948
416 354 634051006
174 343 586195289
229 316 324891355
270 191 218363862
68 241 376058657
301 103 330964141
44 118 255019355
373 102 836939416
93 159 250851139
16 154 748862262
385 224 180656444
333 88 719452774
100 118 50858206
149 233 51688868
315 40 908762933
257 2 765084801
146 100 27896039
180 152 3555143
123 43 932845097
330 150 510227594
182 131 98988500
267 406 745547345
150 203 339839794
400 90 675406286
51 300 525167794
101 351 479783394
307 183 385873153
131 387 36633635
132 239 971391501
63 282 94263879
228 221 562734962
258 230 865210814
303 67 330994799
26 151 988755117
349 45 697072559
283 343 137910624
255 45 766759662
358 214 258729361
308 340 411127423
308 53 953829273
327 224 957711997
47 11 349448554
17 245 931684247
314 322 839303545
260 167 748770292
148 259 380256414
48 418 229726594
290 363 832985332
174 323 172244151
311 387 879980083
413 377 342815013
246 358 76117831
425 124 616264748
224 394 71151171
17 34 91083677
103 228 263382292
331 254 898152350
82 4 288933066
213 296 995504337
3 25 845613025
350 408 2533023
94 418 794915140
336 169 636654292
212 291 721284352
70 123 97830605
180 320 762308271
208 339 628129715
100 139 313153608
185 194 988811904
21 139 448134469
353 365 618824776
245 50 61977941
230 2 207431343
152 408 919728055
177 320 544621102
375 90 334243762
155 253 894728524
86 45 480443354
92 141 310715422
155 258 941798695
93 164 693035204
235 221 256636266
348 180 816137055
375 46 834399965
340 159 725990560
21 311 352543973
209 212 910516899
341 182 371945604
13 44 31511931
420 214 783464739
373 406 316125691
52 162 864468051
88 27 156088802
357 306 180682242
322 346 140187316
279 147 459026299
49 23 718897459
227 202 781449088
205 311 235844612
190 265 251320391
235 104 521938940
10 36 69503064
264 248 520880660
285 64 965441202
170 148 381189509
401 225 119587086
49 420 744363410
216 359 279548795
309 229 242752874
323 48 84256226
186 151 385857592
119 23 332895876
229 310 415237771
262 83 959317104
35 92 660566189
182 274 769809633
98 209 906397985
339 189 545824462
18 20 278611758
394 309 683385743
155 232 255453304
401 215 762594496
149 129 679102399
412 71 203034997
163 267 395384234
409 309 883494123
71 353 307781376
401 166 42063225
355 52 320318161
341 397 151813604
335 214 316989096
251 326 230916540
52 279 109514092
408 290 146720672
254 162 434677704
38 370 269151013
147 235 950300714
27 110 747474182
141 3 63606066
196 91 859645013
390 223 210489681
123 100 356780525
178 5 940439910
131 236 192941973
166 104 85919145
286 402 530470055
69 28 402269830
39 149 666220517
48 159 393142200
64 409 630897038
386 358 49348080
132 171 326305165
199 198 128716712
131 3 822867859
181 100 368703809
373 49 293646514
154 2 641776231
212 278 81017472
331 318 948863146
89 398 163458341
